waveform	[0]
t0	12/31/1903  16:00:00.000000
delta t	0.031250

time	Y[0]
12/31/1903  16:00:09.843750	-7.534912E-2
12/31/1903  16:00:09.875000	-9.423096E-2
12/31/1903  16:00:09.906250	-1.011646E-1
12/31/1903  16:00:09.937500	-9.583740E-2
12/31/1903  16:00:09.968750	-1.002710E-1
12/31/1903  16:00:10.000000	-8.863037E-2
12/31/1903  16:00:10.031250	-7.789307E-2
12/31/1903  16:00:10.062500	-8.603271E-2
12/31/1903  16:00:10.093750	-7.113281E-2
12/31/1903  16:00:10.125000	-5.641602E-2
12/31/1903  16:00:10.156250	-8.407959E-2
12/31/1903  16:00:10.187500	-8.644531E-2
12/31/1903  16:00:10.218750	-6.619141E-2
12/31/1903  16:00:10.250000	-8.343994E-2
12/31/1903  16:00:10.281250	-7.895752E-2
12/31/1903  16:00:10.312500	-7.443359E-2
12/31/1903  16:00:10.343750	-1.001025E-1
12/31/1903  16:00:10.375000	-8.458252E-2
12/31/1903  16:00:10.406250	-7.840088E-2
12/31/1903  16:00:10.437500	-9.201904E-2
12/31/1903  16:00:10.468750	-8.139160E-2
12/31/1903  16:00:10.500000	-8.747803E-2
12/31/1903  16:00:10.531250	-1.110522E-1
12/31/1903  16:00:10.562500	-9.735352E-2
12/31/1903  16:00:10.593750	-9.533936E-2
12/31/1903  16:00:10.625000	-1.106006E-1
12/31/1903  16:00:10.656250	-8.691406E-2
12/31/1903  16:00:10.687500	-7.623779E-2
12/31/1903  16:00:10.718750	-9.852295E-2
12/31/1903  16:00:10.750000	-7.559570E-2
12/31/1903  16:00:10.781250	-5.474365E-2
12/31/1903  16:00:10.812500	-9.611816E-2
12/31/1903  16:00:10.843750	-8.983154E-2
12/31/1903  16:00:10.875000	-6.502441E-2
12/31/1903  16:00:10.906250	-8.034912E-2
12/31/1903  16:00:10.937500	-7.480957E-2
12/31/1903  16:00:10.968750	-6.146729E-2
12/31/1903  16:00:11.000000	-7.508545E-2
12/31/1903  16:00:11.031250	-6.410400E-2
12/31/1903  16:00:11.062500	-6.526367E-2
12/31/1903  16:00:11.093750	-1.022998E-1
12/31/1903  16:00:11.125000	-9.504150E-2
12/31/1903  16:00:11.156250	-1.081055E-1
12/31/1903  16:00:11.187500	-1.321265E-1
12/31/1903  16:00:11.218750	-1.046704E-1
12/31/1903  16:00:11.250000	-1.006909E-1
12/31/1903  16:00:11.281250	-1.167920E-1
12/31/1903  16:00:11.312500	-9.530518E-2
12/31/1903  16:00:11.343750	-8.926758E-2
12/31/1903  16:00:11.375000	-9.229492E-2
12/31/1903  16:00:11.406250	-7.592529E-2
12/31/1903  16:00:11.437500	-8.463135E-2
12/31/1903  16:00:11.468750	-9.498779E-2
12/31/1903  16:00:11.500000	-8.634033E-2
12/31/1903  16:00:11.531250	-9.796143E-2
12/31/1903  16:00:11.562500	-9.083496E-2
12/31/1903  16:00:11.593750	-8.877197E-2
12/31/1903  16:00:11.625000	-1.136377E-1
12/31/1903  16:00:11.656250	-1.138892E-1
12/31/1903  16:00:11.687500	-1.016187E-1
12/31/1903  16:00:11.718750	-1.269189E-1
12/31/1903  16:00:11.750000	-1.344238E-1
12/31/1903  16:00:11.781250	-1.254639E-1
12/31/1903  16:00:11.812500	-1.458228E-1
12/31/1903  16:00:11.843750	-1.531006E-1
12/31/1903  16:00:11.875000	-1.469849E-1
12/31/1903  16:00:11.906250	-1.650659E-1
12/31/1903  16:00:11.937500	-1.690576E-1
12/31/1903  16:00:11.968750	-1.711450E-1
12/31/1903  16:00:12.000000	-1.969531E-1
12/31/1903  16:00:12.031250	-2.053711E-1
12/31/1903  16:00:12.062500	-2.129419E-1
12/31/1903  16:00:12.093750	-2.424341E-1
12/31/1903  16:00:12.125000	-2.489429E-1
12/31/1903  16:00:12.156250	-2.730322E-1
12/31/1903  16:00:12.187500	-2.991113E-1
12/31/1903  16:00:12.218750	-3.043457E-1
12/31/1903  16:00:12.250000	-3.207666E-1
12/31/1903  16:00:12.281250	-3.428198E-1
12/31/1903  16:00:12.312500	-3.245728E-1
12/31/1903  16:00:12.343750	-3.398730E-1
12/31/1903  16:00:12.375000	-3.470093E-1
12/31/1903  16:00:12.406250	-3.348926E-1
12/31/1903  16:00:12.437500	-3.357788E-1
12/31/1903  16:00:12.468750	-3.297607E-1
12/31/1903  16:00:12.500000	-3.045483E-1
12/31/1903  16:00:12.531250	-3.079810E-1
12/31/1903  16:00:12.562500	-3.093750E-1
12/31/1903  16:00:12.593750	-2.790112E-1
12/31/1903  16:00:12.625000	-2.834863E-1
12/31/1903  16:00:12.656250	-2.752271E-1
12/31/1903  16:00:12.687500	-2.488184E-1
12/31/1903  16:00:12.718750	-2.704565E-1
12/31/1903  16:00:12.750000	-2.581567E-1
12/31/1903  16:00:12.781250	-2.424707E-1
12/31/1903  16:00:12.812500	-2.671875E-1
12/31/1903  16:00:12.843750	-2.508032E-1
12/31/1903  16:00:12.875000	-2.419287E-1
12/31/1903  16:00:12.906250	-2.498975E-1
12/31/1903  16:00:12.937500	-2.290039E-1
12/31/1903  16:00:12.968750	-2.094873E-1
12/31/1903  16:00:13.000000	-1.965015E-1
12/31/1903  16:00:13.031250	-1.907715E-1
12/31/1903  16:00:13.062500	-1.976489E-1
12/31/1903  16:00:13.093750	-1.974097E-1
12/31/1903  16:00:13.125000	-2.002417E-1
12/31/1903  16:00:13.156250	-2.199097E-1
12/31/1903  16:00:13.187500	-2.373584E-1
12/31/1903  16:00:13.218750	-2.323486E-1
12/31/1903  16:00:13.250000	-2.587671E-1
12/31/1903  16:00:13.281250	-2.685205E-1
12/31/1903  16:00:13.312500	-2.625952E-1
12/31/1903  16:00:13.343750	-2.660718E-1
12/31/1903  16:00:13.375000	-2.648901E-1
12/31/1903  16:00:13.406250	-2.515601E-1
12/31/1903  16:00:13.437500	-2.481909E-1
12/31/1903  16:00:13.468750	-2.430469E-1
12/31/1903  16:00:13.500000	-2.412402E-1
12/31/1903  16:00:13.531250	-2.491089E-1
12/31/1903  16:00:13.562500	-2.398145E-1
12/31/1903  16:00:13.593750	-2.389453E-1
12/31/1903  16:00:13.625000	-2.515503E-1
12/31/1903  16:00:13.656250	-2.578491E-1
12/31/1903  16:00:13.687500	-2.742261E-1
12/31/1903  16:00:13.718750	-2.743970E-1
12/31/1903  16:00:13.750000	-2.757666E-1
12/31/1903  16:00:13.781250	-2.972949E-1
12/31/1903  16:00:13.812500	-3.129590E-1
12/31/1903  16:00:13.843750	-3.367554E-1
12/31/1903  16:00:13.875000	-3.626440E-1
12/31/1903  16:00:13.906250	-3.833887E-1
12/31/1903  16:00:13.937500	-3.991724E-1
12/31/1903  16:00:13.968750	-4.091650E-1
12/31/1903  16:00:14.000000	-4.137036E-1
12/31/1903  16:00:14.031250	-4.290674E-1
12/31/1903  16:00:14.062500	-4.309790E-1
12/31/1903  16:00:14.093750	-4.354395E-1
12/31/1903  16:00:14.125000	-4.450928E-1
12/31/1903  16:00:14.156250	-4.581421E-1
12/31/1903  16:00:14.187500	-4.772998E-1
12/31/1903  16:00:14.218750	-4.750757E-1
12/31/1903  16:00:14.250000	-4.776782E-1
12/31/1903  16:00:14.281250	-4.913525E-1
12/31/1903  16:00:14.312500	-5.198779E-1
12/31/1903  16:00:14.343750	-5.495337E-1
12/31/1903  16:00:14.375000	-5.671289E-1
12/31/1903  16:00:14.406250	-5.862183E-1
12/31/1903  16:00:14.437500	-6.141577E-1
12/31/1903  16:00:14.468750	-6.306519E-1
12/31/1903  16:00:14.500000	-6.394751E-1
12/31/1903  16:00:14.531250	-6.592676E-1
12/31/1903  16:00:14.562500	-6.836255E-1
12/31/1903  16:00:14.593750	-6.812598E-1
12/31/1903  16:00:14.625000	-6.958228E-1
12/31/1903  16:00:14.656250	-6.968701E-1
12/31/1903  16:00:14.687500	-6.887231E-1
12/31/1903  16:00:14.718750	-6.871021E-1
12/31/1903  16:00:14.750000	-6.598877E-1
12/31/1903  16:00:14.781250	-6.416455E-1
12/31/1903  16:00:14.812500	-6.520044E-1
12/31/1903  16:00:14.843750	-6.412842E-1
12/31/1903  16:00:14.875000	-6.119385E-1
12/31/1903  16:00:14.906250	-6.191919E-1
12/31/1903  16:00:14.937500	-6.092139E-1
12/31/1903  16:00:14.968750	-5.755054E-1
12/31/1903  16:00:15.000000	-5.708008E-1
12/31/1903  16:00:15.031250	-5.625806E-1
12/31/1903  16:00:15.062500	-5.456396E-1
12/31/1903  16:00:15.093750	-5.507788E-1
12/31/1903  16:00:15.125000	-5.369653E-1
12/31/1903  16:00:15.156250	-5.173218E-1
12/31/1903  16:00:15.187500	-5.176416E-1
12/31/1903  16:00:15.218750	-5.102100E-1
12/31/1903  16:00:15.250000	-5.030908E-1
12/31/1903  16:00:15.281250	-5.116162E-1
12/31/1903  16:00:15.312500	-4.973975E-1
12/31/1903  16:00:15.343750	-4.830566E-1
12/31/1903  16:00:15.375000	-5.014233E-1
12/31/1903  16:00:15.406250	-4.855762E-1
12/31/1903  16:00:15.437500	-4.743213E-1
12/31/1903  16:00:15.468750	-4.769531E-1
12/31/1903  16:00:15.500000	-4.687378E-1
12/31/1903  16:00:15.531250	-4.582007E-1
12/31/1903  16:00:15.562500	-4.494165E-1
12/31/1903  16:00:15.593750	-4.246582E-1
12/31/1903  16:00:15.625000	-4.421582E-1
12/31/1903  16:00:15.656250	-4.410156E-1
12/31/1903  16:00:15.687500	-4.183667E-1
12/31/1903  16:00:15.718750	-4.141406E-1
12/31/1903  16:00:15.750000	-4.322339E-1
12/31/1903  16:00:15.781250	-4.274072E-1
12/31/1903  16:00:15.812500	-4.229565E-1
12/31/1903  16:00:15.843750	-4.268774E-1
12/31/1903  16:00:15.875000	-4.084058E-1
12/31/1903  16:00:15.906250	-4.168506E-1
12/31/1903  16:00:15.937500	-4.200757E-1
12/31/1903  16:00:15.968750	-4.092700E-1
12/31/1903  16:00:16.000000	-4.072241E-1
12/31/1903  16:00:16.031250	-4.178369E-1
12/31/1903  16:00:16.062500	-4.012695E-1
12/31/1903  16:00:16.093750	-3.947827E-1
12/31/1903  16:00:16.125000	-4.047778E-1
12/31/1903  16:00:16.156250	-4.044458E-1
12/31/1903  16:00:16.187500	-4.077344E-1
12/31/1903  16:00:16.218750	-4.062012E-1
12/31/1903  16:00:16.250000	-3.964868E-1
12/31/1903  16:00:16.281250	-3.994922E-1
12/31/1903  16:00:16.312500	-3.973999E-1
12/31/1903  16:00:16.343750	-3.924170E-1
12/31/1903  16:00:16.375000	-4.220117E-1
12/31/1903  16:00:16.406250	-4.277734E-1
12/31/1903  16:00:16.437500	-4.165479E-1
12/31/1903  16:00:16.468750	-4.170264E-1
12/31/1903  16:00:16.500000	-4.177197E-1
12/31/1903  16:00:16.531250	-4.228516E-1
12/31/1903  16:00:16.562500	-4.436743E-1
12/31/1903  16:00:16.593750	-4.458350E-1
12/31/1903  16:00:16.625000	-4.504053E-1
12/31/1903  16:00:16.656250	-4.579224E-1
12/31/1903  16:00:16.687500	-4.469873E-1
12/31/1903  16:00:16.718750	-4.558740E-1
12/31/1903  16:00:16.750000	-4.693848E-1
12/31/1903  16:00:16.781250	-4.585254E-1
12/31/1903  16:00:16.812500	-4.639819E-1
12/31/1903  16:00:16.843750	-4.609497E-1
12/31/1903  16:00:16.875000	-4.444751E-1
12/31/1903  16:00:16.906250	-4.516479E-1
12/31/1903  16:00:16.937500	-4.390161E-1
12/31/1903  16:00:16.968750	-4.235034E-1
12/31/1903  16:00:17.000000	-4.295972E-1
12/31/1903  16:00:17.031250	-4.226782E-1
12/31/1903  16:00:17.062500	-4.322437E-1
12/31/1903  16:00:17.093750	-4.518311E-1
12/31/1903  16:00:17.125000	-4.410278E-1
12/31/1903  16:00:17.156250	-4.350098E-1
12/31/1903  16:00:17.187500	-4.349658E-1
